DATE,temp_c_mean,conductivity_mean,ph_mean,orp_mv_mean,turbidity_ntu_mean,chl_ugl_mean,phycocyanin_mean,odo_mgl_mean,temp_c_shallow,conductivity_shallow,ph_shallow,orp_mv_shallow,turbidity_ntu_shallow,chl_ugl_shallow,phycocyanin_shallow,odo_mgl_shallow
2026-04-07,6.820541666666667,212.63072916666667,7.967708333333333,116.11625,8.179791666666667,0.47072916666666664,0.42,9.350416666666666,9.943,223.75,8.14,95.06,2.0,0.5700000000000001,0.32,9.34
2026-04-08,6.895359375000001,213.30036458333333,8.007395833333334,154.60817708333335,2.9548958333333335,0.3415625,0.38458333333333333,9.268593749999999,10.081,224.87,8.19,206.08,1.72,0.51,0.29,9.28
2026-04-09,6.9446492146596865,222.74424083769634,7.967591623036649,145.55460732984292,4.021780104712041,0.3575916230366492,0.3861780104712042,9.249947643979057,9.859,225.6,8.18,233.35,1.74,0.44,0.33,9.34
2026-04-10,7.04675,214.67557291666665,7.96171875,210.43567708333333,3.4163541666666664,0.3468229166666667,0.3727604166666667,9.229531249999999,9.769,225.65,8.16,158.31,1.78,0.81,0.3,9.39
2026-04-28,8.258900709219859,223.51156028368794,7.891843971631205,26.95631205673759,52.81815602836879,0.5345390070921986,1.078723404255319,8.47063829787234,10.932,238.3,8.14,65.53,1.69,0.35,0.58,8.98
2026-04-29,8.280780104712042,222.23293193717276,7.940837696335079,107.3329842931937,2.003350785340314,0.14424083769633508,0.7149214659685864,8.668219895287958,10.795,236.87,8.21,143.95,1.78,0.49,0.59,9.08
2026-04-30,8.269222222222222,221.85305555555556,7.948263888888889,151.223125,1.7990972222222221,0.14173611111111112,0.7095138888888889,8.688263888888889,10.567,235.1,8.19,159.74,1.68,0.66,0.61,9.0
2026-05-01,8.217067708333333,220.95078125,7.943593750000001,179.98791666666668,1.6736458333333333,0.10864583333333334,0.70734375,8.7475,10.47,233.18,8.19,181.14,1.61,0.73,0.61,9.18
2026-05-02,8.250520833333333,221.17354166666667,7.945,192.2747916666667,1.63375,0.111875,0.700625,8.710208333333332,10.347,232.37,8.19,185.35,1.48,0.46,0.6,9.15
2026-05-04,8.442914893617022,223.5772340425532,7.688723404255319,8.796170212765958,20.396808510638298,0.09638297872340426,0.7487234042553191,8.247446808510638,10.621,232.35,7.96,22.81,2.46,0.010000000000000009,0.56,8.9
2026-05-05,8.4110625,258.4977083333333,7.653125,-31.030833333333334,63.408125000000005,0.11583333333333334,0.883125,7.609999999999999,10.578,231.5,7.93,6.25,2.83,0.37,0.58,8.77
2026-05-14,9.511579545454545,219.40556818181815,7.527613636363636,116.75545454545454,1.6979545454545453,0.015795454545454553,0.6315909090909091,8.417613636363637,15.41,244.84,7.76,86.21,1.18,0.010000000000000009,0.32,8.28
2026-05-15,9.658681818181817,220.70795454545453,7.595227272727272,163.81704545454545,1.5802272727272728,0.004090909090909098,0.62,8.571136363636363,15.791,247.69,7.82,154.77,0.99,0.08000000000000002,0.28,8.44
2026-05-18,9.935825757575758,228.73704545454547,7.882121212121213,126.97363636363637,1.5068939393939393,1.4193939393939392,0.44901515151515153,8.341742424242424,12.727,246.05,7.99,122.9,1.69,1.88,0.54,8.26
2026-05-19,9.819892655367232,227.33745762711865,7.897909604519774,112.93129943502825,1.461186440677966,1.321638418079096,0.398361581920904,8.443898305084746,11.993,242.76,7.99,111.46,1.58,1.54,0.4,8.4
2026-05-20,9.729629213483147,226.07735955056177,7.891573033707865,111.69792134831461,1.4123033707865167,1.1488202247191013,0.33769662921348315,8.506235955056178,11.957,242.12,7.95,111.65,1.48,1.1,0.28,8.43
2026-05-21,9.785704545454546,226.16147727272727,7.893522727272727,110.78255681818182,1.3539772727272725,1.134090909090909,0.33051136363636363,8.557215909090909,12.147,242.15,7.96,110.85,1.24,1.12,0.35,8.49
2026-05-22,9.949982954545455,226.58937500000002,7.889147727272728,110.31454545454545,1.3358522727272726,1.148465909090909,0.3322727272727273,8.555,11.739,240.24,7.98,109.53,1.34,1.45,0.26,8.5
2026-05-23,10.194926136363636,227.0009659090909,7.887159090909091,110.22914772727273,1.3205681818181818,1.2486931818181817,0.38335227272727274,8.556306818181818,13.244,239.89,8.0,111.29,1.13,1.29,0.38,8.48
2026-05-24,10.496181818181817,227.39642045454545,7.886931818181818,109.07068181818181,1.323125,1.2675568181818182,0.39113636363636367,8.53403409090909,13.264,238.9,8.02,109.13,1.1,1.4,0.34,8.48
2026-05-25,10.776045454545455,228.219375,7.894431818181818,107.21051136363636,1.3398863636363636,1.1957954545454546,0.3584659090909091,8.52534090909091,13.77,241.08,8.03,106.55,1.04,1.75,0.43,8.46
2026-05-26,11.022426136363636,229.29437499999997,7.894829545454545,105.82301136363635,1.3369886363636363,1.3975,0.4335227272727273,8.513352272727273,14.675,246.46,8.08,104.95,1.03,1.8399999999999999,0.42,8.47
2026-05-27,11.15723484848485,229.90454545454546,7.899772727272727,105.41348484848484,1.3304545454545456,1.363560606060606,0.40537878787878784,8.493863636363637,14.444,245.2,8.1,102.74,1.03,2.45,0.51,8.45
2026-05-28,11.247704545454546,229.8819318181818,7.888465909090908,106.56761363636365,1.325965909090909,1.3217045454545455,0.39840909090909093,8.495113636363637,14.614,246.16,8.13,102.62,1.03,1.97,0.39,8.51
2026-05-29,11.575267045454545,230.90221590909093,7.877443181818182,108.53170454545456,1.3514204545454545,1.288125,0.3915340909090909,8.480511363636364,15.631,248.21,8.06,105.33,1.43,1.56,0.48,8.31
2026-05-30,11.882352272727273,230.94386363636366,7.889261363636364,107.7997159090909,1.4547159090909092,1.2893181818181818,0.3777840909090909,8.43375,15.978,250.04,8.05,107.17,1.22,1.51,0.34,8.31
2026-05-31,12.091397727272726,230.27380681818184,7.864375000000001,109.00784090909092,1.5769886363636365,1.2685227272727273,0.36107954545454546,8.368636363636364,15.849,248.96,8.06,105.46,1.09,1.48,0.43,8.26
2026-06-01,12.225920454545456,230.04755681818185,7.862897727272727,108.39460227272728,1.5686363636363636,1.2159090909090908,0.3432386363636364,8.314204545454546,16.15,251.24,8.01,108.0,1.12,1.26,0.37,8.28
2026-06-02,12.589488636363637,231.4822159090909,7.8559659090909095,107.64289772727274,1.530284090909091,1.1723863636363636,0.335,8.26659090909091,16.311,251.41,8.02,106.04,0.94,1.25,0.32,8.23
2026-06-03,12.921022727272726,233.06051136363638,7.841079545454545,108.70272727272727,1.514659090909091,1.0448863636363637,0.2831818181818182,8.243238636363635,16.561,252.98,8.0,106.85,0.9,1.23,0.33,8.19
2026-06-04,12.959579545454545,233.16323863636364,7.853977272727272,108.83107954545454,1.5638068181818183,0.9494886363636365,0.2334659090909091,8.241363636363637,16.138,250.64,8.04,107.37,0.84,1.43,0.22,8.23
2026-06-05,13.02011931818182,233.63323863636361,7.860056818181818,108.21647727272726,1.568409090909091,0.920625,0.218125,8.244772727272727,16.314,252.63,8.04,105.67,0.8,1.11,0.18,8.19
2026-06-06,13.201636363636363,235.35329545454545,7.841818181818183,110.18022727272728,1.5080681818181818,0.9598863636363636,0.22704545454545455,8.274829545454544,16.317,253.23,8.01,107.61,0.82,1.5,0.3,8.19
2026-06-07,13.358517045454546,237.36215909090907,7.865284090909091,109.29198863636363,1.4545454545454546,0.9237500000000001,0.21448863636363635,8.290852272727273,15.939,252.26,7.97,108.39,0.85,1.07,0.19,8.13
2026-06-08,13.447488636363635,239.2608522727273,7.884261363636364,109.18142045454546,1.4273863636363637,0.9596022727272728,0.22897727272727272,8.300454545454546,16.531,257.41,8.03,108.26,0.8,1.3,0.22,8.2
2026-06-09,13.603642045454546,241.11323863636363,7.868636363636364,111.288125,1.3701704545454545,1.026590909090909,0.25448863636363633,8.278125000000001,16.714,259.68,8.02,110.51,0.77,1.43,0.27,8.17
2026-06-10,13.691801136363637,242.6006818181818,7.887272727272728,111.61732954545455,1.326818181818182,0.9718181818181818,0.22551136363636362,8.255965909090909,17.929,267.81,8.03,110.4,0.77,1.92,0.43,8.14
2026-06-11,13.820443181818183,244.32670454545453,7.888238636363636,111.38795454545453,1.2871590909090909,1.1092613636363635,0.2815340909090909,8.210795454545455,16.849,261.36,8.06,107.68,0.7,1.3499999999999999,0.17,8.1
2026-06-12,13.906681818181818,245.7659659090909,7.885227272727272,111.02017045454545,1.2578977272727272,1.1203977272727272,0.28954545454545455,8.16653409090909,17.827,269.01,8.05,109.61,0.67,1.5799999999999998,0.33,8.12
2026-06-13,13.991948863636365,247.4290340909091,7.865795454545455,113.31704545454545,1.238181818181818,1.0557386363636363,0.25767045454545456,8.14090909090909,16.833,263.71,8.01,111.16,0.67,1.45,0.29,8.07
2026-06-14,13.951392045454547,248.90022727272728,7.873920454545455,113.7843181818182,1.2593181818181818,0.8848863636363636,0.173125,8.13721590909091,16.676,264.37,8.05,111.76,0.75,1.49,0.32,8.14
2026-06-15,14.034742424242424,248.39007575757574,7.966363636363636,159.5964393939394,1.1483333333333334,0.6078787878787878,0.2643939393939394,8.003560606060606,16.611,261.23,8.24,246.25,0.48,-0.009999999999999981,0.31,7.91
2026-06-16,14.082278409090911,245.89352272727274,8.06653409090909,254.77619318181817,0.9713068181818181,0.004545454545454554,0.4613068181818182,7.751704545454545,16.4,260.1,8.24,240.82,0.52,0.03,0.32,7.86
2026-06-17,14.122619318181819,247.3190340909091,8.080170454545454,260.78573863636365,1.010568181818182,0.004204545454545463,0.4586363636363636,7.81471590909091,17.396,267.1,8.27,253.41,0.36,-0.009999999999999981,0.31,7.91
2026-06-18,14.27153409090909,249.14227272727274,8.092613636363636,265.48812499999997,0.9782386363636363,0.0032954545454545545,0.44784090909090907,7.845113636363636,16.586,262.7,8.27,255.58,0.53,0.05000000000000002,0.34,7.95
2026-06-19,14.545232954545453,251.73142045454549,8.098749999999999,269.0805681818182,0.9642613636363637,-0.000624999999999992,0.4315909090909091,7.821875,17.938,273.32,8.29,253.23,0.44,0.020000000000000018,0.24,7.78
2026-06-20,14.506818181818181,252.470625,8.092954545454544,275.7719318181818,0.9732954545454546,0.0015340909090909168,0.4343181818181818,7.797272727272727,17.698,272.23,8.3,266.04,0.34,0.04000000000000001,0.23,7.76
2026-06-21,14.4654375,252.98392045454545,8.095056818181819,284.5195454545455,0.9587500000000001,-0.0007954545454545359,0.4330681818181818,7.796420454545455,17.505,272.21,8.29,274.63,0.36,0.08000000000000002,0.27,7.78
2026-06-22,14.458420454545454,253.8372159090909,8.092045454545454,289.3684659090909,0.9652272727272727,0.001079545454545463,0.4332954545454546,7.762045454545454,16.749,267.82,8.29,278.95,0.5,0.03,0.31,7.76
2026-06-23,14.475829545454546,254.9325,8.094545454545454,295.2820454545454,0.9694886363636364,0.0023295454545454626,0.43164772727272727,7.758295454545455,17.254,272.21,8.28,287.13,0.28,-0.03999999999999998,0.3,7.85
2026-06-24,14.648812499999998,256.6918181818182,8.104545454545454,295.36,0.9667045454545455,0.0014772727272727368,0.42125,7.759829545454545,17.423,273.54,8.26,286.57,0.37,0.010000000000000009,0.26,7.74
2026-06-25,14.857431818181817,258.64659090909095,8.11028409090909,295.34579545454545,0.9653409090909091,-0.0022159090909090826,0.4081818181818182,7.736420454545454,18.011,278.14,8.29,284.92,0.23,0.06,0.24,7.74
